fish_id,common_name,scientific_name,taxonomy,habitat,water_type,threatened_status,description
19,Brown Trout,Salmo trutta,Salmonidae,Rivers,Freshwater,Least Concern,"Brown Trout is a freshwater species valued for sport fishing and cold-water habitats."
20,Milkfish,Chanos chanos,Chanidae,Coastal Lagoons,Brackish,Least Concern,"Milkfish is a coastal fish widely farmed in brackish and marine environments."
21,Sea Bass,Lates calcarifer,Latidae,Estuaries,Brackish,Least Concern,"Sea Bass is a marine fish cultivated for its high-quality flesh."
22,Mullet,Mugil cephalus,Mugilidae,Estuaries,Brackish,Least Concern,"Mullet is a coastal fish commonly found in estuaries and shallow waters."
23,Pearlspot,Etroplus suratensis,Cichlidae,Backwaters,Brackish,Least Concern,"Pearlspot is a brackish water fish popular in South Indian aquaculture."
24,Red Tilapia,Oreochromis spp,Cichlidae,Ponds,Freshwater,Least Concern,"Red Tilapia is a selectively bred tilapia variety known for its reddish color and fast growth."
25,Black Carp,Mylopharyngodon piceus,Cyprinidae,Rivers,Freshwater,Vulnerable,"Black Carp is a freshwater fish primarily feeding on mollusks."
26,Goldfish,Carassius auratus,Cyprinidae,Ponds,Freshwater,Least Concern,"Goldfish is a freshwater ornamental fish widely kept in aquariums and ponds."
27,Koi Carp,Cyprinus rubrofuscus,Cyprinidae,Ponds,Freshwater,Least Concern,"Koi Carp is a colorful ornamental fish bred from common carp."
28,Eel,Anguilla bengalensis,Anguillidae,Rivers,Freshwater,Endangered,"Eel is a long-bodied fish found in freshwater and marine environments."
29,Gourami,Osphronemus goramy,Osphronemidae,Ponds,Freshwater,Least Concern,"Gourami is a freshwater fish popular in aquaculture and aquariums."
30,Betta,Betta splendens,Osphronemidae,Tanks,Freshwater,Least Concern,"Betta is a freshwater ornamental fish known for its vibrant colors and aggressive behavior."
31,Piranha,Pygocentrus nattereri,Serrasalmidae,Rivers,Freshwater,Least Concern,"Piranha is a freshwater fish known for its sharp teeth and predatory behavior."
32,Arapaima,Arapaima gigas,Arapaimidae,Amazon Basin,Freshwater,Vulnerable,"Arapaima is one of the largest freshwater fish species, native to the Amazon basin."
33,Pacu,Piaractus brachypomus,Serrasalmidae,Rivers,Freshwater,Least Concern,"Pacu is a freshwater fish related to piranhas, known for its herbivorous diet."
34,Sturgeon,Acipenser baerii,Acipenseridae,Rivers,Freshwater,Critically Endangered,"Sturgeon is a large migratory fish valued for caviar production."
35,Tuna,Thunnus albacares,Scombridae,Open Ocean,Marine,Near Threatened,"Tuna is a fast-swimming marine fish important in global fisheries."
36,Mackerel,Scomber scombrus,Scombridae,Sea,Marine,Least Concern,"Mackerel is a marine fish known for its high oil content and nutritional value."
37,Sardine,Sardina pilchardus,Clupeidae,Sea,Marine,Least Concern,"Sardine is a small marine fish commonly found in large schools."
38,Hilsa,Tenualosa ilisha,Clupeidae,Estuaries,Brackish,Least Concern,"Hilsa is a migratory fish highly valued in South Asian cuisine."
39,Anchovy,Engraulis encrasicolus,Engraulidae,Sea,Marine,Least Concern,"Anchovy is a small schooling marine fish widely used in food processing."
40,Grouper,Epinephelus coioides,Serranidae,Coral Reefs,Marine,Near Threatened,"Grouper is a marine fish commonly found near coral reefs."
41,Clownfish,Amphiprion ocellaris,Pomacentridae,Reefs,Marine,Least Concern,"Clownfish is a small marine fish known for its symbiotic relationship with sea anemones."
42,Snapper,Lutjanus argentimaculatus,Lutjanidae,Coastal Waters,Marine,Least Concern,"Snapper is a marine fish popular in commercial and recreational fishing."
43,Barracuda,Sphyraena barracuda,Sphyraenidae,Sea,Marine,Least Concern,"Barracuda is a large predatory marine fish known for its speed."
44,Flounder,Paralichthys dentatus,Paralichthyidae,Sea Floor,Marine,Least Concern,"Flounder is a flatfish species living on the ocean floor."
45,Halibut,Hippoglossus hippoglossus,Pleuronectidae,Deep Sea,Marine,Vulnerable,"Halibut is a large flatfish valued for its white meat."
46,Skate,Raja clavata,Rajidae,Sea Floor,Marine,Near Threatened,"Skate is a bottom-dwelling marine fish related to rays."
47,Ray,Dasyatis pastinaca,Dasyatidae,Coastal Waters,Marine,Near Threatened,"Ray is a flat-bodied marine fish commonly found in coastal waters."
48,Shark,Carcharhinus limbatus,Carcharhinidae,Open Sea,Marine,Near Threatened,"Shark is a large predatory fish found in marine ecosystems worldwide."
49,Seahorse,Hippocampus kuda,Syngnathidae,Seagrass,Marine,Vulnerable,"Seahorse is a small marine fish known for its upright posture and unique reproduction."
50,Moray Eel,Gymnothorax javanicus,Muraenidae,Reefs,Marine,Least Concern,"Moray Eel is a marine eel commonly found in coral reefs and rocky crevices."
